keys;pl;en
WZNOW;Wznów;Resume
WYJSCIE;Wyjdź;Exit
ZAPAL;Zapal;kuirw
CZAHA1;Zniszcz;a
CZAHA1.;Nie bij!;a
CZAHA2;Ty gadasz?;a
CZAHA2.;Jeszcze jak! Skąd się tu wziąłeś?;a
CZAHA2-1;Spadłem z nieba;a
CZAHA2-2;Sam nie wiem. Jeszcze tego nie wymyślono.;a
CZAHA3;Jak się stąd wydostać?;a
CZAHA3.;Zapalenie tamtej świeczki powinno zdjąć blokadę.  Ale za blokadą jest potwór. Jeśli zginiesz wrócisz do tej świeczki, lub do innej ostatnio zapalonej.;a
CZAHA4;A ty co tu robisz?;a
CZAHA4.;Leżę w trawie, patrzę w bramę;a
CZAHA5;Dawaj lorem ipsum;a
CZAHA5.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;a
CZAHA6;a;a
CZAHA6.;a;a
