keys;pl;en
WZNOW;Wznów;Resume
OPCJE;Opcje;Options
WYJSCIE;Wyjdź;Exit
ZAPAL;Użyj;Use
CZAHA1;Kutas;a
CZAHA1.;Chuj na kaczych łapach!;a
CZAHA2;Jesteś gadatliwy?;a
CZAHA2.;Jeszcze jak! SEX Z PEDAŁAMI;a
CZAHA2-1;SEX Z PEDAŁAMI;a
CZAHA2-2;NIe dzieki.;a
CZAHA3;blalb?;a
CZAHA3.;skurwysy67n.;a
CZAHA4;dsafasf;a
CZAHA4.;agsdggag;a
CZAHA5;Dawaj lorem ipsum;a
CZAHA5.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;a
CZAHA6;a;a
CZAHA6.;a;a
GAD1;Krotkke;a
GAD1.;Problme jakiś masz??? Jakie kurwa krótkie?;a
GAD2;Dlogie;a
GAD2.;Wiesz ty jak się pisze długie wgl??? Frajerska chmuro?!?! Ale jak chcesz Tomasz. ALEJEUJHAJLKJFKAHSKFJKAALALJEJJAKKURRWAKIEDORLOKIENEAHFJFHJAHFJLHGJSIDGHIUSLUHGJKSHGJDGHLISUGIIWUIW JHKSDGHJIWIGUHWUIGHWIGHWIGHWIGHGHKDJSHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH;a
;;
;;
;;
;;
;;
;Nie widzisz co się do ciebie mówi???;
